ID_UNIFICA;EQUIDAD_SOCIAL;COBERTURA_SALUD;COBERTURA_EDUCACION;COBERTURA_ACUEDUCTO;COBERTURA_ALCANTARILLADO;DISTANCIA_SALUD;DISTANCIA_EDUCACION
6800110000000015020233;25,7386664565404;4395;2883;677;439;698,196075065;1132,33231061921
6800110000000001880434;32,894565232422;8743;5673;225;255;94,215085325;135,17892918719
6800110000000002770121;21,4757762695692;12644;8469;206;161;489,868377179;304,310995752944
6800110000000002760207;37,7256413606497;1592;1021;317;246;817,944677237;736,766587469337
6800110000000002760226;37,2471431868417;2004;1274;242;155;554,535568974;481,397852085561
6800110000000002850227;32,5105067958003;11016;7425;421;213;383,841601516;294,789890477172
6800110000000010820913;23,1896906882217;5274;3346;712;672;645,439332647;877,640760132411
6800110000000012930207;4,01071431949025;11531;7885;4;5;325,437264456;19,0688585042858
6800110000000002780504;29,5950790990995;13480;9337;135;82;391,817031066;106,056889847385
6800110000000004210507;26,9647894493291;3447;2380;3;7;295,571117033;484,496045512206
6800110000000004230154;35,2112175608293;14188;9689;534;491;319,469068378;375,62817113517
6800110000000008550208;10,6733695825805;10756;7389;123;104;126,831134287;109,24184452263
6800110000000012370310;2,06642857662269;9771;7333;4;3;33,4230493768;417,97434027591
6800110000000013160207;11,1188119523006;15807;10450;9;17;190,39560864;296,129542019411
6800110000000001880212;40,8566663360596;7058;4560;216;255;313,959448024;183,084516734302
6800110000000008610137;15,3279168600837;11416;7849;144;147;269,633538056;196,883817492137
6800110000000012370110;21,6653849954788;11444;8854;4;5;40,1836250397;615,15480147158
6800110000000006510106;6,71603782671802;6830;4719;6;6;449,51389149;380,092766634324
6800110000000005290106;8,29823524671442;8611;5745;38;58;72,2571148596;258,304602697031
6800110000000007420105;6,69210515981703;20983;14289;10;13;308,980259217;251,99064303837
6800110000000010820401;7,04725274312627;12012;8364;101;41;254,930646735;271,722710510167
6800110000000010820674;22,2290912908135;14598;9637;1458;689;200,381178737;247,494578303912
6800110000000010820855;33,8413884765572;12329;7954;1891;1228;446,073473515;638,286732186627
6800110000000011940537;9,00650687270785;18078;12061;873;317;210,678289507;139,894913522431
6800110000000011950328;4,3912500033776;18721;12432;14;7;255,815531055;371,261204444162
6800110000000014100130;26,8447614976338;13665;9460;25;22;294,538319578;72,2362358915285
6800110000000001020704;10,4946153475688;14692;9873;73;49;181,600573821;410,760630532618
6800110000000002030530;33,8194771081089;16347;11314;132;86;219,30450758;159,649102690786
6800110000000005270619;6,5898304955434;9435;6447;8;10;278,135608436;408,800902288986
6800110000000006570201;7,78550743851541;9535;6721;17;14;110,052489299;241,092766698224
6800110000000009630204;10,6382813574746;10958;7635;7;7;113,533982372;91,0108650270263
6800110000000012380209;1,44527027997616;15204;11467;1;6;39,2362691099;815,674386729009
6800110000000001880219;38,5500000293438;6409;4140;177;216;249,233753485;393,432955862209
6800110000000010640108;2,24868421021261;11271;7749;13;16;23,721120763;364,183034481014
6800110000000011960111;11,3570173497786;7007;4709;3;10;722,489730573;695,407723502112
6800110000000012380604;1,7401639350125;5676;4254;1;1;26,0841861747;625,509895916267
6800110000000012430633;11,6645831920517;3951;2531;23;23;745,242300167;944,947053183861
6800110000000013190311;11,2949495869454;9290;6489;6;9;128,305422384;203,341240362818
6800110000000013150503;6,31264376537553;18413;12521;7;4;59,4187730406;285,14927973091
6800110000000005290408;10,188823317079;10677;7291;30;35;176,556721255;206,008862127444
6800110000000011940612;16,1692592029218;9974;6391;1667;1116;653,631709565;425,712115075166
6800110000000012480106;2,19387754128904;5700;4174;3;2;30,8318647567;135,028847532466
6800110000000013190508;4,27959184348583;14427;9846;9;10;115,932074446;306,277380043349
6800110000000014110102;20,8526512962399;12361;8435;153;125;682,698322881;129,375127312456
6800110000000002030111;23,3154927419385;13463;9183;150;118;572,138721043;344,838902870932
6800110000000004240303;21,9357143061502;3265;2358;55;52;175,093475753;183,5297102501
6800110000000005670201;12,6561401517768;5189;3555;5;6;234,867635225;362,509112490402
6800110000000006920203;11,720909108357;9981;6911;3;2;213,435425156;284,969165383182
6800110000000007420725;6,86774194971208;18264;12639;109;100;369,274464665;387,203032710952
6800110000000007540631;5,9107142921005;10168;6788;1;0;264,077281138;300,419367599615
6800110000000008610328;19,2625003829598;11387;7811;143;147;252,32634277;214,946638458787
